,50,125,250,375,500,625,750,875,1000
1,0.032,0.053,0.085,0.224,0.54,1.093,2.192,4.641,8.645
2,0.037,0.05824,0.07659,0.13453,0.28311,0.47871,0.82617,1.42582,2.40264
4,0.04376,0.05794,0.07971,0.10424,0.18388,0.33476,0.49888,0.74812,1.25682
8,0.04353,0.05782,0.06888,0.08824,0.12871,0.22423,0.297,0.48653,0.73494
16,0.04147,0.06041,0.0665,0.08318,0.10905,0.15394,0.19576,0.28547,0.42347
32,0.04406,0.05859,0.06359,0.07676,0.10012,0.11482,0.15012,0.20918,0.29458
